% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.
term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:0009657,"plastid organization",1.032%,-11.7399,0.916,0.050,"plastid organization"
GO:0016043,"cellular component organization",13.263%,-5.7645,0.898,0.502,"plastid organization"
GO:0009658,"chloroplast organization",0.803%,-8.7282,0.918,0.546,"plastid organization"
GO:0006996,"organelle organization",6.439%,-2.5607,0.904,0.695,"plastid organization"
GO:0017144,"drug metabolic process",0.004%,-3.5003,0.925,0.057,"drug metabolism"
GO:0042430,"indole-containing compound metabolic process",0.384%,-2.3990,0.797,0.084,"indole-containing compound metabolism"
GO:1901564,"organonitrogen compound metabolic process",8.541%,-5.6402,0.826,0.235,"indole-containing compound metabolism"
GO:0042435,"indole-containing compound biosynthetic process",0.237%,-1.7773,0.780,0.388,"indole-containing compound metabolism"
GO:0033013,"tetrapyrrole metabolic process",0.401%,-1.7773,0.796,0.406,"indole-containing compound metabolism"
GO:0034641,"cellular nitrogen compound metabolic process",25.404%,-4.3575,0.774,0.493,"indole-containing compound metabolism"
GO:1901566,"organonitrogen compound biosynthetic process",6.073%,-7.7852,0.719,0.541,"indole-containing compound metabolism"
GO:0019684,"photosynthesis, light reaction",0.505%,-9.6234,0.846,0.086,"photosynthesis, light reaction"
GO:0051188,"cofactor biosynthetic process",1.027%,-4.5272,0.789,0.093,"cofactor biosynthesis"
GO:0042793,"transcription from plastid promoter",0.039%,-1.4179,0.849,0.183,"cofactor biosynthesis"
GO:1901576,"organic substance biosynthetic process",22.969%,-7.9172,0.765,0.352,"cofactor biosynthesis"
GO:0018130,"heterocycle biosynthetic process",14.014%,-5.4330,0.750,0.620,"cofactor biosynthesis"
GO:0019438,"aromatic compound biosynthetic process",14.247%,-5.6819,0.749,0.623,"cofactor biosynthesis"
GO:1901362,"organic cyclic compound biosynthetic process",14.769%,-5.4425,0.765,0.629,"cofactor biosynthesis"
GO:0044271,"cellular nitrogen compound biosynthetic process",17.018%,-7.0726,0.728,0.657,"cofactor biosynthesis"
GO:0015979,"photosynthesis",1.057%,-14.9245,0.888,0.094,"photosynthesis"
GO:0006790,"sulfur compound metabolic process",1.420%,-1.5086,0.885,0.097,"sulfur compound metabolism"
